id	name
Q41861	hipertensión arterial
Q41861	hta
Q41861	hipertensión no complicada
Q41861	hipertension arterial
Q41861	tension arterial alta
Q41861	hipertension no complicada
Q41861	prensión arterial alta
Q12206	diabetes mellitus
Q12206	diabetes
Q124407	diabetes mellitus tipo 1
Q124407	diabetes mellitus tipo i
Q124407	diabetes juvenil
Q124407	diabetes tipo 1
Q124407	diabetes 1
Q124407	diabetes insulino dependiente
Q124407	diabetes insulinodependiente
Q124407	iddm
Q124407	did
Q124407	diabetes insulino-dependiente
Q3025883	diabetes mellitus tipo 2
Q3025883	diabetes tipo 2
Q3025883	diabetes mellitus 2
Q3025883	diabetes senil
Q3025883	diabetes del adulto
Q3025883	diabetes mellitus tipo ii
Q3025883	diabetes no insulindependiente
Q3025883	diabetes no-insulino dependiente
Q3025883	niddm
Q3025883	diabetes de tipo 2
Q3025883	dnid
Q126691	diabetes mellitus gestacional
Q126691	diabetes gestacional
Q52856	pie diabético
Q52856	pie diabetico
Q663041	diabetes mody
Q631361	etinopatía diabética
Q220551	diabetes insípida
Q220551	diabetes insipida
Q877827	cetoacidosis diabética
Q877827	cetoacidosis diabetica
Q332428	sobrepeso
Q332428	gordura
Q332428	gordo
Q12174	obesidad
Q662860	tabaquismo
Q199804	enfermedad pulmonar obstructiva crónica
Q199804	enfermedad pulmonar obstructiva cronica
Q199804	enfermedad pulmonar cronica obstructiva
Q199804	enfermedad pulmonar crónica obstructiva
Q199804	bronconeumopatía crónica obstructiva
Q199804	bronconeumopatia cronica obstructiva
Q199804	epoc
Q736715	enfermedad renal crónica
Q736715	nefropatía crónica
Q736715	falla renal crónica
Q736715	insuficiencia renal crónica
Q389735	enfermedad cardiovascular
Q389735	enfermedades cardiovasculares
Q389735	enfermedad del sistema cardiovascular
Q389735	enfermedad del sistema circulatorio
Q18555060	enfermedad cardiovascular arteriosclerótica
Q18555060	aterosclerosis cardiovascular
Q55789055	enfermedad cardiovascular rara
Q55789055	enfermedad rara del sistema circulatorio
Q23900716	enfermedad cardiovascular ocupacional
Q23900716	enfermedad ocupacional cardiovascular
Q939364	cardiopatía congénita
Q939364	cardiopatias
Q939364	cardiopatia congénita
Q939364	cardiopatia congenita
Q939364	cardiopatía congenita
Q939364	cardiopatías
Q1455316	inmunosupresión
Q1455316	inmunosupresion
Q1455316	terapia inmunosupresora
Q1455316	supresión inmunológica
Q1455316	inmunodepresión
Q1455316	inmunosupresión
Q35869	asma
Q35869	asma bronquial
Q35869	ataque de asma
Q35869	asmático
Q35869	asmatico
Q826759	asma aguda severa
Q2551913	asma ocupacional
Q15787	vih
Q12199	sida
Q12199	síndrome de inmunodeficiencia adquirida
Q12199	sindrome de inmunodeficiencia adquirida
Q12199	sida
Q12199	vih/sida
Q12199	vih / sida
