id	name
Q84263196	covid19
Q84263196	covid 19
Q84263196	covid-19
Q84263196	ncovd19
Q84263196	ncovd 19
Q84263196	ncovd-19
Q84263196	covid-2019
Q84263196	sars-cov-2
Q84263196	2019-ncov
Q84263196	coronavirus
Q84263196	enfermedad por coronavirus
Q84263196	enfermedad del coronavirus
Q84263196	2019-ncov
Q84263196	neumonía por coronavirus
Q84263196	neumonia por coronavirus
Q84263196	enfermedad por coronavirus de 2019
Q84263196	neumonía por coronavirus de 2019
Q84263196	enfermedad infecciosa causada por el virus sars-cov-2
Q2633267	neumonía
Q2633267	neumonia
Q2633267	neumonía atípica
Q2633267	neumonía atipica
Q2633267	neumonia atipica
Q2633267	neumonia atípica
Q2633267	pneumonía
Q2633267	pneumonia
