id	name
Q18555060	enfermedad cardiovascular arteriosclerótica
Q55789055	enfermedad rara del sistema circulatorio
Q199804	enfermedad pulmonar obstructiva crónica
Q199804	enfermedad pulmonar crónica obstructiva
Q199804	enfermedad pulmonar obstructiva cronica
Q199804	enfermedad pulmonar cronica obstructiva
Q23900716	enfermedad cardiovascular ocupacional
Q23900716	enfermedad ocupacional cardiovascular
Q12199	síndrome de inmunodeficiencia adquirida
Q199804	bronconeumopatía crónica obstructiva
Q12199	sindrome de inmunodeficiencia adquirida
Q389735	enfermedad del sistema cardiovascular
Q199804	bronconeumopatia cronica obstructiva
Q389735	enfermedad del sistema circulatorio
Q3025883	diabetes no-insulino dependiente
Q55789055	enfermedad cardiovascular rara
Q3025883	diabetes no insulindependiente
Q18555060	aterosclerosis cardiovascular
Q124407	diabetes insulino dependiente
Q124407	diabetes insulino-dependiente
Q126691	diabetes mellitus gestacional
Q389735	enfermedades cardiovasculares
Q124407	diabetes insulinodependiente
Q736715	insuficiencia renal crónica
Q41861	hipertensión no complicada
Q3025883	diabetes mellitus tipo ii
Q41861	hipertension no complicada
Q3025883	diabetes mellitus tipo 2
Q736715	enfermedad renal crónica
Q389735	enfermedad cardiovascular
Q1455316	supresión inmunológica
Q124407	diabetes mellitus tipo 1
Q124407	diabetes mellitus tipo i
Q1455316	terapia inmunosupresora
Q877827	cetoacidosis diabética
Q939364	cardiopatía congénita
Q41861	prensión arterial alta
Q631361	etinopatía diabética
Q877827	cetoacidosis diabetica
Q939364	cardiopatia congénita
Q939364	cardiopatía congenita
Q41861	hipertensión arterial
Q939364	cardiopatia congenita
Q41861	hipertension arterial
Q41861	tension arterial alta
Q3025883	diabetes mellitus 2
Q3025883	diabetes del adulto
Q126691	diabetes gestacional
Q736715	nefropatía crónica
Q736715	falla renal crónica
Q3025883	diabetes de tipo 2
Q220551	diabetes insípida
Q220551	diabetes insipida
Q1455316	inmunosupresión
Q1455316	inmunodepresión
Q1455316	inmunosupresión
Q826759	asma aguda severa
Q2551913	asma ocupacional
Q12206	diabetes mellitus
Q124407	diabetes juvenil
Q3025883	diabetes tipo 2
Q1455316	inmunosupresion
Q124407	diabetes tipo 1
Q3025883	diabetes senil
Q52856	pie diabético
Q663041	diabetes mody
Q939364	cardiopatías
Q35869	asma bronquial
Q35869	ataque de asma
Q52856	pie diabetico
Q939364	cardiopatias
Q124407	diabetes 1
Q662860	tabaquismo
Q332428	sobrepeso
Q12199	vih / sida
Q35869	asmático
Q12206	diabetes
Q332428	gordura
Q12174	obesidad
Q35869	asmatico
Q12199	vih/sida
Q3025883	niddm
Q3025883	dnid
Q332428	gordo
Q124407	iddm
Q199804	epoc
Q124407	did
Q35869	asma
Q12199	sida
Q12199	sida
Q41861	hta
Q15787	vih
