id	name
Q30141517	dificultad para interpretar imágenes y evaluar distancias
Q30141616	pérdida de memoria que interrumpe la vida cotidiana
Q30141588	pérdida de cosas y de la capacidad de volver atrás
Q21112293	irritación de las vías respiratorias superiores
Q445036	síndrome de movimientos periódicos de las piernas
Q30141432	abandono de las actividades laborales o sociales
Q30141343	dificultad para planear o resolver problemas
Q344873	síndrome de distrés respiratorio del adulto
Q344873	síndrome de distres respiratorio del adulto
Q344873	sindrome de distrés respiratorio del adulto
Q344873	sindrome de distres respiratorio del adulto
Q30141385	problemas en la expresión oral o escrita
Q344873	síndrome de dificultad respiratoria aguda
Q102	pneumonoultramicroscopicsilicovolcanoconiosis
Q21109805	excitación del sistema nervioso central
Q21110165	retardo en la cicatrización de heridas
Q5540112	incidente del vómito de george w. bush
Q1193870	síndrome de disfunción multiorgánica
Q21112283	irritación de las vías respiratorias
Q344873	síndrome de distres respiratorio agudo
Q344873	sindrome de distrés respiratorio agudo
Q344873	sindrome de distres respiratorio agudo
Q21402557	quemadura de las vías respiratorias
Q20706838	signo de la cara del panda gigante
Q344873	sindrome de dificultad respiratoria
Q1093872	nódulo de la hermana maría josé
Q4736316	nivel alterado de la consciencia
Q30141414	cambios de humor y personalidad
Q1137870	síndrome de courvoisier-terrier
Q21112279	irritación de membrana mucosa
Q21116733	hipersensibilidad respiratoria
Q21110052	pérdida temporal del cabello
Q776790	eritema necrolítico migratorio
Q338802	síndrome clínicamente aislado
Q3508755	infección respiratoria aguda
Q2915863	hemorragia digestiva inferior
Q21112278	irritación gastrointestinal
Q51714514	comportamiento problemático
Q1883970	hemorragia digestiva superior
Q47085690	coloración cutánea anormal
Q1326943	trastorno hidroelectrolítico
Q618708	prueba de compresión de apley
Q4686715	reacción alimentaria adversa
Q189331	trastorno del ritmo cardíaco
Q1405631	fiebre de origen desconocido
Q21112057	transpiración de las manos
Q30141302	confusión espacio-temporal
Q1495657	hemorragia gastrointestinal
Q21110074	hipersensibilidad cutánea
Q21505036	dolor de senos paranasales
Q3232712	trastorno de la continencia
Q4340622	síntoma neurológico focal
Q5272107	soplo cardíaco diastólico
Q1097957	claudicación intermitente
Q21112341	transpiración localizada
Q21120235	color anormal de la orina
Q18343527	molestia gastrointestinal
Q21112016	molestia gastrointestinal
Q21117554	descoordinación muscular
Q18356391	pérdida de la conciencia
Q7663898	soplo cardíaco sistólico
Q767485	insuficiencia respiratoria
Q21120069	cambio de comportamiento
Q21515328	comportamiento errático
Q4878587	tríada cognitiva de beck
Q5420062	intolerancia al ejercicio
Q3773761	soplo cardíaco funcional
Q4692699	agitación en la demencia
Q5002909	mariposas en el estómago
Q21116801	sensación de bienestar
Q57769952	excitatión catatónica
Q21128838	cambio de peso corporal
Q3382122	fenómeno de gallavardin
Q4117925	signo de rivero-carvallo
Q3427755	respiración paradójica
Q7487276	respiración superficial
Q3508755	síndrome pseudo-gripal
Q1497481	retardo del crecimiento
Q9162872	autismo esquizofrénico
Q841743	mirada de los mil metros
Q7315912	dificultad respiratoria
Q21110117	insuficiencia pulmonar
Q19720556	necrosis centrilobular
Q21110047	vacuolización corneal
Q21110038	opacidad de la córnea
Q7798315	irritación de garganta
Q131191	índice de masa corporal
Q6742929	menstruación masculina
Q7433358	gránulos de schüffner
Q188008	dificultad respiratoria
Q1076369	tormenta de citoquinas
Q1188913	signo de dennie-morgan
Q970208	insuficiencia hepática
Q6947902	desarreglo miocárdico
Q649122	presión venosa yugular
Q1076369	tormenta de citocinas
Q21109742	secreción bronquial
Q21112075	temblor de las manos
Q21402566	toxicidad sistémica
Q30141399	deterioro del juicio
Q3152967	inseguridad emocional
Q21116634	irritación pulmonar
Q21109837	temblor de los dedos
Q21402560	arritmia ventricular
Q2584991	signo de winterbottom
Q1137032	cuerpos de councilman
Q2099990	neumatosis intestinal
Q3916681	síndrome crepuscular
Q1424702	dientes de hutchinson
Q5039180	soplo de carey coombs
Q2536390	distensión abdominal
Q663998	respiración agónica
Q21116594	sudoración profusa
Q21119540	dolor de mandíbula
Q1751296	contracción uterina
Q2365426	erupción acneiforme
Q486851	parálisis del sueño
Q1132536	delirio persecutorio
Q21109840	opresión torácica
Q21110016	traumatismo corneal
Q21505006	perforación ocular
Q1166878	signo de grey turner
Q962598	manchas de brushfield
Q780829	soplo de austin flint
Q4099570	signo de forchheimer
Q1784680	sonidos de korotkoff
Q3801563	hipertensión venosa
Q7884476	reflejo de prensión
Q4927059	hinchazón abdominal
Q8038367	dolor en la muñeca
Q21109775	gusto desagradable
Q7933601	labilidad emocional
Q21112080	efecto hemolítico
Q21117353	hiperexcitabilidad
Q1640924	hiperconcentración
Q4346317	lengua aframbuesada
Q5456583	parálisis flácida
Q12046440	desorden emocional
Q21402617	ulceración ocular
Q11820606	irritación ocular
Q19000619	trastorno urinario
Q21402580	neuropatía motora
Q1214063	sangre en las heces
Q1282114	trastorno del habla
Q514823	respuesta de cushing
Q7319620	pentada de reynolds
Q7368603	signo de rosenstein
Q647099	hemorragia alveolar
Q188008	fatiga respiratoria
Q143607	sangrado de encías
Q8777453	erupción cutánea
Q1458077	signo de trousseau
Q2266426	alteración visual
Q12738740	púrpura vascular
Q3002092	calambre abdominal
Q21111994	parestesia facial
Q1641068	hiperpigmentación
Q4419847	síntoma de pavlov
